index,gender_rate,school_diversity,cgpa_average,*diversity
0,0.6666666666666666,0.8,4.068,1.1805377777777777
1,0.6666666666666666,1.0,4.068,1.313871111111111
2,0.6666666666666666,1.0,4.0600000000000005,1.314671111111111
3,0.6666666666666666,1.0,4.162,1.317751111111111
4,0.6666666666666666,1.0,4.174,1.3189511111111112
5,0.6666666666666666,1.0,4.178,1.3193511111111111
6,0.6666666666666666,1.0,4.192,1.3207511111111112
7,0.6666666666666666,1.0,3.9559999999999995,1.325071111111111
8,0.25,0.8,4.09,0.77556
9,0.6666666666666666,0.8,4.008,1.1865377777777777
index,gender_rate,school_diversity,cgpa_average,*diversity
0,0.6666666666666666,1.0,4.066,1.0989908496732026
1,0.6666666666666666,1.0,4.06,1.0995908496732025
2,0.6666666666666666,1.0,4.048,1.1007908496732026
3,0.6666666666666666,1.0,4.029999999999999,1.1025908496732026
4,0.6666666666666666,1.0,4.226000000000001,1.1045908496732026
5,0.6666666666666666,1.0,4.248,1.1067908496732024
6,0.6666666666666666,1.0,4.128,1.0947908496732024
7,0.6666666666666666,1.0,4.044,1.1011908496732026
8,0.6666666666666666,0.8,4.156000000000001,0.9799437908496731
9,0.6666666666666666,1.0,4.1739999999999995,1.0993908496732023
index,gender_rate,school_diversity,cgpa_average,*diversity
0,0.6666666666666666,1.0,4.058000000000001,1.185794688057041
1,0.6666666666666666,1.0,4.144,1.187154688057041
2,0.6666666666666666,1.0,4.018,1.189794688057041
3,0.6666666666666666,1.0,4.174,1.190154688057041
4,0.6666666666666666,1.0,4.178,1.190554688057041
5,0.6666666666666666,1.0,4.186000000000001,1.1913546880570411
6,0.6666666666666666,0.6,4.054,0.950900570409982
7,0.6666666666666666,0.8,4.058,1.0681476292335115
8,0.6666666666666666,1.0,4.016,1.189994688057041
9,0.6666666666666666,1.0,4.055999999999999,1.1859946880570411
index,gender_rate,school_diversity,cgpa_average,*diversity
0,0.6666666666666666,1.0,4.1739999999999995,1.1399333333333335
1,0.6666666666666666,1.0,4.034000000000001,1.1407333333333332
2,0.6666666666666666,1.0,4.026000000000001,1.141533333333333
3,0.6666666666666666,1.0,4.002000000000001,1.143933333333333
4,0.6666666666666666,1.0,4.0,1.1441333333333332
5,0.6666666666666666,1.0,4.218,1.1443333333333334
6,0.6666666666666666,1.0,4.218000000000001,1.1443333333333334
7,0.6666666666666666,1.0,4.252,1.1477333333333335
8,0.6666666666666666,1.0,4.11,1.1335333333333335
9,0.6666666666666666,0.8,4.046,1.0061999999999998
index,gender_rate,school_diversity,cgpa_average,*diversity
0,0.6666666666666666,1.0,4.05,1.2656260606060608
1,0.6666666666666666,1.0,4.151999999999999,1.2657860606060607
2,0.6666666666666666,1.0,4.046,1.2660260606060607
3,0.6666666666666666,1.0,4.156000000000001,1.2661860606060609
4,0.6666666666666666,1.0,4.159999999999999,1.2665860606060606
5,0.6666666666666666,1.0,4.04,1.2666260606060606
6,0.6666666666666666,1.0,4.188,1.2693860606060607
7,0.6666666666666666,1.0,4.0,1.2706260606060606
8,0.6666666666666666,0.6,4.076,0.996359393939394
9,0.6666666666666666,0.8,4.1339999999999995,1.1306527272727274
index,gender_rate,school_diversity,cgpa_average,*diversity
0,0.6666666666666666,1.0,4.162000000000001,1.0974266666666666
1,0.6666666666666666,1.0,4.034000000000001,1.0987066666666665
2,0.6666666666666666,1.0,4.176,1.0988266666666664
3,0.6666666666666666,1.0,4.183999999999999,1.0996266666666663
4,0.6666666666666666,1.0,4.188,1.1000266666666665
5,0.6666666666666666,1.0,4.016,1.1005066666666667
6,0.6666666666666666,1.0,4.01,1.1011066666666667
7,0.6666666666666666,1.0,3.9879999999999995,1.1033066666666667
8,0.6666666666666666,1.0,4.188000000000001,1.1000266666666665
9,0.6666666666666666,0.8,4.098,0.9673066666666666
index,gender_rate,school_diversity,cgpa_average,*diversity
0,0.25,1.0,3.998,0.9837257142857145
1,0.6666666666666666,0.8,4.026,1.2755685714285716
2,0.6666666666666666,0.8,4.12,1.2766885714285712
3,0.6666666666666666,0.8,4.144,1.2790885714285711
4,0.6666666666666666,1.0,4.104,1.417945714285714
5,0.6666666666666666,1.0,4.0,1.4210257142857143
6,0.6666666666666666,1.0,4.15,1.4225457142857139
7,0.6666666666666666,1.0,4.151999999999999,1.4227457142857138
8,0.6666666666666666,1.0,3.974,1.4236257142857145
9,0.6666666666666666,0.8,4.006,1.2775685714285716
index,gender_rate,school_diversity,cgpa_average,*diversity
0,0.6666666666666666,1.0,4.148000000000001,1.1361355555555555
1,0.6666666666666666,1.0,4.154000000000001,1.1367355555555556
2,0.6666666666666666,1.0,4.168,1.1381355555555555
3,0.6666666666666666,1.0,4.174,1.1387355555555554
4,0.6666666666666666,1.0,3.996,1.1401755555555557
5,0.6666666666666666,1.0,3.9900000000000007,1.1407755555555557
6,0.6666666666666666,1.0,4.151999999999999,1.1365355555555554
7,0.6666666666666666,1.0,4.042,1.1355755555555556
8,0.6666666666666666,1.0,4.045999999999999,1.1351755555555556
9,0.6666666666666666,1.0,4.0520000000000005,1.1345755555555557
index,gender_rate,school_diversity,cgpa_average,*diversity
0,0.6666666666666666,1.0,4.101999999999999,1.2765663247863246
1,0.6666666666666666,1.0,4.112,1.2775663247863247
2,0.6666666666666666,1.0,4.040000000000001,1.2792063247863248
3,0.6666666666666666,1.0,4.158,1.2821663247863246
4,0.6666666666666666,1.0,4.176,1.2839663247863247
5,0.6666666666666666,1.0,3.95,1.2882063247863247
6,0.6666666666666666,0.8,4.118,1.124320170940171
7,0.6666666666666666,0.8,4.128,1.1253201709401708
8,0.6666666666666666,1.0,4.040000000000001,1.2792063247863248
9,0.6666666666666666,1.0,4.018,1.2814063247863248
index,gender_rate,school_diversity,cgpa_average,*diversity
0,0.25,1.0,4.006,1.006012030075188
1,0.25,1.0,4.191999999999999,1.012212030075188
2,0.6666666666666666,0.8,4.108,1.3368320802005011
3,0.6666666666666666,0.8,3.9899999999999998,1.3406320802005012
4,0.6666666666666666,1.0,4.118,1.480689223057644
5,0.6666666666666666,1.0,3.9900000000000007,1.4834892230576437
6,0.6666666666666666,1.0,3.9659999999999997,1.485889223057644
7,0.6666666666666666,1.0,4.174,1.486289223057644
8,0.6666666666666666,1.0,3.9559999999999995,1.486889223057644
9,0.6666666666666666,1.0,4.180000000000001,1.486889223057644
index,gender_rate,school_diversity,cgpa_average,*diversity
0,0.6666666666666666,1.0,4.142,1.1392133333333332
1,0.6666666666666666,1.0,4.024,1.1392533333333335
2,0.6666666666666666,1.0,4.02,1.1396533333333334
3,0.6666666666666666,1.0,4.008,1.1408533333333335
